Timestamp,Label,Host,OS,CPU,Backend,Backend_Version,Threads,Number,Digits,Bits,Run_Index,Wall_Time_s,YAFU_Reported_Time_s,Method_Reported,Factors_Found,Status,Notes
2025-10-13T10:37:16.880407+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.00004E+12,13,40,1,0.16591,0.0156,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.033788+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.00004E+12,13,40,2,0.15262,0.0066,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.184418+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.00004E+12,13,40,1,0.149145,0,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.334659+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.00004E+12,13,40,2,0.1481,0,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.478118+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,9.99986E+11,12,40,1,0.142002,0,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.627620+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,9.99986E+11,12,40,2,0.148074,0,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.762812+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.13433E+12,13,41,1,0.134041,0,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:17.971355+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.13433E+12,13,41,2,0.202173,0.0343,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:18.359294+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.68966E+12,13,41,1,0.38367,0.1064,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:18.514032+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,1,1.68966E+12,13,41,2,0.153271,0.021,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:18.697823+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.00004E+12,13,40,1,0.182185,0.0172,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:18.886237+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.00004E+12,13,40,2,0.187091,0.0069,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.033085+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.00004E+12,13,40,1,0.145709,0,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.183753+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.00004E+12,13,40,2,0.148758,0,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.324504+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,9.99986E+11,12,40,1,0.137322,0,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.463342+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,9.99986E+11,12,40,2,0.137654,0,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.615021+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.13433E+12,13,41,1,0.150233,0,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:19.834737+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.13433E+12,13,41,2,0.216847,0.0411,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:20.133326+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.68966E+12,13,41,1,0.296229,0.0549,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:20.286520+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,2,1.68966E+12,13,41,2,0.151365,0.0168,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:20.446959+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.00004E+12,13,40,1,0.159376,0,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:20.692945+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.00004E+12,13,40,2,0.228905,0.0625,GNFS,1000003x1000033,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.062446+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.00004E+12,13,40,1,0.287399,0.023,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.225579+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.00004E+12,13,40,2,0.155338,0,GNFS,1000003x1000037,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.377869+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,9.99986E+11,12,40,1,0.145786,0,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.540953+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,9.99986E+11,12,40,2,0.162011,0.0087,GNFS,999983x1000003,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.712401+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.13433E+12,13,41,1,0.169756,0.0104,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:21.865906+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.13433E+12,13,41,2,0.152405,0,GNFS,229x1031x1033x4651,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:22.056738+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.68966E+12,13,41,1,0.188811,0.0313,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
2025-10-13T10:37:22.212310+00:00,GNFS Scaling (YAFU),DESKTOP-HEL6OME,Windows 10,"AMD64 Family 23 Model 24 Stepping 1, AuthenticAMD",YAFU,unknown,4,1.68966E+12,13,41,2,0.15408,0.0156,GNFS,7x229x811x1299709,ok,"-xover 10, plan=noecm"
